name,interests
Maurizio Paolillo,"Astronomy, High Energy Astrophysics, Galaxy Evolution, Active Galactic Nuclei"
Thomas H. Puzia,Astronomy and Astrophysics
Valeria Amaro,fail
Civita Vellucci,fail
Sunoo Park,
Silas Richelson,"cryptography, computational complexity"
Ryan R. Curtin,"machine learning, fast algorithms, eating at good restaurants"
Wojciech Chojnacki,"computer vision, harmonic analysis, functional analysis"
Zygmunt L. Szpak,"Computer Vision, Image Processing, Pattern Recognition"
Nick Weber,"Virology, Drug delivery"
Valeria de Paiva,"Category Theory, Proof Theory, Type Systems, Categorical logic, Semantics of Natural languages"
Andrey Kutuzov,"Computational Linguistics, Natural Language Processing, Diachronic Word Embeddings, Semantic Change Detection, Machine Learning"
Maria Kunilovskaya,"machine learning, computational linguistics, parallel corpora, translation quality estimation, learner translator corpora"
Anders Hast,"Face Recognition, Image Processing, AI, Computer Vision, Visualisation"
Per Cullhed,fail
Ekta Vats,"Computer vision, Machine learning, Image and Video Analysis"
Markus Matilainen,"Time Series, Blind Source Separation, Biostatistics, Data Science, Multiple Sclerosis"
Klaus Nordhausen,"Multivariate statistics, robust and nonparametric methods, blind source separation"
Joni Virta,Dimension reduction
Matthias Koeppe,"Mathematical Optimization, Discrete Optimization, Mathematical Programming"
George Leu,"Cognitive Science, Cognitive Systems, Cognitive Computing, Cognitive engineering"
Jens-Wolfhard Schicke-Uffmann,fail
Martin Avanzini,Program Analysis
Arpna Srivastava,Molecular Neurobiology
Pritam   Jain,Pharmaceutical Analysis
Nathan A. Bowling,"Occupational Health Psychology, Job Satisfaction, Counterproductive Work Behavior, Careless Responding, I-O Psychology"
Victor Khomenko,"Petri net unfoldings, Asynchronous circuits, Formal verification"
Reiner H®πchting,fail
Zichao Wang,"AI for education, generative models, NLP, ML"
Markus Latte,fail
Slawomir Lasota,"automata theory, concurrency theory, program verification"
Alexander P. Kreuzer,fail
Tomer Kotek,
Alexey Gotsman,
Vinod Vaikuntanathan,"Cryptography, Distributed Algorithms, Complexity Theory"
Antonio Yan,Trabalho de Entrevista
Nick J. Hay,fail
Adam Safron,
John Noll,"Global Software Engineering, Global Software Development, Agile Software Development, Open Source"
Dr Abdul-Razak M. Mohamed,"Fishery, Fish Ecology and Biology, Population Dynamics"
Travis S. Humble,fail
M. V. Polyakov,fail
A. V. Khoperskov,fail
T. V. Zamechnic,fail
Milena Svobodov®¢,parasitology
Yu.Ye.Gordienko;Hordiienko.Gordyenko.Gordiyenko,ß≤ß—ß’?ß‡ßÊ?ßŸß⁄ßÈßﬂ? ßﬁß÷ß‰ß‡ß’ß⁄ ? ßŸß—ß„ß‡ß“ß⁄ ß’ß‡ß„ß›?ß’ßÿß÷ßﬂßﬂßÒ ß‰ß— ß’?ß—ß‘ßﬂß‡ß„ß‰ß⁄ß‹ß⁄ ßÊßÂßﬂß‹ßË?ß‡ßﬂß—ß›ßÓ
Yong-hui Jiang,genetics/neuroscience
Yu. Kochura,fail
Oleg Alienin,
ß∞ß›ß÷ß‹ß„ß—ßﬂß’ß‚ ß≤ß‡ß‹ß‡ß”ß⁄ß€ / Oleksandr Rokovyi / ß°ß›ß÷ß‹ß„ß—ßﬂß’ß‚ ß≤ß‡ß‹ß‡ß”ß‡ß€,"ß¨ß‡ßﬁß·'ßß‰ß÷ß‚ßﬂ? ßﬁß÷ß‚ß÷ßÿ?, ß¨?ß“ß÷ß‚ß“ß÷ßŸß·ß÷ß‹ß—"
"Sergii Stirenko, ß≥ß÷ß‚ß‘?ß€ ß≥ß‰?ß‚ß÷ßﬂß‹ß‡, ß≥ß‰?ß‚ß÷ßﬂß‹ß‡ ß≥.ß§., ß≥ß÷ß‚ß‘ß÷ß€ ß≥ß‰ß⁄ß‚ß÷ßﬂß‹ß‡","AI, Machine Learning, Computer Vision, Computer Engineering, High Performance Computing"
Manjil P. Saikia,"Enumerative Combinatorics, Integer Partitions, q-Series, Elementary Number Theory"
Marcos Villagra,"Computational Complexity, Theoretical Computer Science, Cryptography"
Alexander Voronin,
Inessa Isaeva,fail
Umang Mathur,"Concurrency, Formal Methods, Verification, Logic, Programming Languages"
Shambwaditya Saha,
Gopal P. Sarma,fail
Alexandre Routier,"Medical imaging, Neurodegenerative disease, Neuroscience, Oncology, Deep Learning"
Michael Bacci,fail
St®¶phanie Allassonni®®re,fail
Julian M. Bass,"Agile Software Development, Empirical Software Engineering, ICT4D"
Sarah Beecham,"Software Engineering, Global Software Engineering, Global Software Development, Software Process Improvement, Software Fault Pre"
Fabian Zimmermann,"Fisheries ecology, stock assessment, fisheries management, resource economics"
Mostafa Mehdipour Ghazi,"Deep Learning, Machine Learning, Artificial Intelligence, Computer Vision, Image Analysis"
Haz?m Kemal Ekenel,"Facial Image Processing, Computer Vision, Machine Learning, Deep Learning"
Jean-Philippe Thiran,"medical image analysis, brain connectivity, diffusion MRI, medical image computing, medical imaging"
Ramses Sala,"Optimization, Computational Mechanics, Industrial Engineering, Algorithms, Applied Mathematics"
Niccolo Baldanzini,fail
Marco Pierini,
Javier T. Akagi,"Graph Theory, Computational Complexity"
Carlos F. Gaona,fail
Fabricio Orlando Sanchez Varretti,"F®™sica, mec®¢nica estad®™stica, optimizaci®Æn, fractales, vidrios"
Johannes Kinder,"Programming Languages, Computer Security, Program Analysis, Machine Learning"
St®¶phane Grumbach,"databases, digital platforms, social ecosystems, geopolitics"
Robert Riemann,fail
Isabel Wagner,"Privacy metrics, Privacy-enhancing technologies, Transparency-enhancing technologies, Communication networks"
Eerke Boiten,"Cyber security, Privacy, Formal methods, Refinement"
Sergey Grebenjuk,fail
Pascal Bouvry,"Optimisation, Cloud/Distributed/Parallel Computing, Ad Hoc networks"
Jan-Hendrik Lorenz,fail
Valentin Touzeau,fail
claire maiza,"real-time systems, timing analysis, Predictability, Hardware model"
David Mestel,fail
Igor Koval,machine learning
Jean-Baptiste SCHIRATTI,
Istvan Csabai,"Complex systems, Astronomy, Computer Science, Bioinformatics, Networks"
Eszter Bok®¢nyi,"network science, computational social science, urban data science, human mobility, social networks"
G®¢bor Vattay,"quantum chaos, billiards, quantum biology"
Moritz Schubotz,"Decentralized Algorithms, Blockchain Technology, Open Science, Resarch Data Management"
Norman Meuschke,"NLP, Data Science, Information Retrieval, Blockchain Technology"
Jorge Samper-Gonz®¢lez,
Ninon Burgos,"Medical image computing, Image synthesis, Anomaly detection, Computer-aided diagnosis, Dementia"
Sabrina Fontanella,fail
Hugo Bertin,"security, systems, networks"
Marie-Odile Habert,"Molecular Imaging, Nuclear Neurology, Neuroimaging"
Theodoros Evgeniou,https://github.com/tevgeniou
Tuomo K?hk?nen,fail
Tommaso Gagliardoni,fail
Claudio Rizzo,"Computer Security, Software Security, Static Analysis"
Lorenzo Cavallaro,"Systems Security, Adversarial Machine Learning, AI Security, Trustworthy Machine Learning"
Sarthak Sharma,"Computer Vision, Machine Learning, Artificial Intelligence"
Prateeksha Varshney,fail
Alexander Osinsky,"Linear Algebra, Signal Processing, Aggregation in granular gases"
Irina Sokolinskaya (ß≥ß‡ß‹ß‡ß›ß⁄ßﬂß„ß‹ß—ßÒ ß™ß‚ß⁄ßﬂß— ßÆß⁄ßÁß—ß€ß›ß‡ß”ßﬂß—),"Computational Mathematics, Linear Programming"
Dr. Hassan Errami,"Artificial Intelligence, Physics-based Animation, Symbolic Computation, Bio-chemical Network"
Michele Boreale,Theoretical Computer Science
Chi Ling Chan,fail
Justin Lai,"Product design, design process, education"
Bryan Hooi,"Machine Learning, Natural Language Processing, Graphs, Trustworthy AI"
Elias Rohrer,
Jann-Frederik La?,fail
Florian Tschorsch,fail
Zs®Æfia Kallus,"complex systems, quantum physics, network science, ML/AI, biological physics"
D®¢niel Kondor,
"St®¶ger, J®Æzsef","complex networks, computer science"
Vahan Nanumyan,"complex networks, network inference, scientometrics, agent-based modelling"
Ingo Scholtes,"graph learning, network science, statistical relational learning, computational social science"
Frank Schweitzer,"systems design, complex systems, social organizations, economic systems"
Amirhossein Tavanaei,fail
Anthony S. Maida,"Neurocomputing, Computational Neuroscience, AI"
Thomas Hepp,
Howard Cohl,"Special functions, Fundamental solutions of elliptic partial differential equations on isotropic Riemannian manifolds, Hypergeom"
Bela Gipp,"AI/Data Science/NLP, Digital Libraries, Scientific Paper Mining, Blockchain Technology"
Marian Daun,
Jennifer Brings,
Thorsten Weyer,"Highly automated Systems, Cyber-physical Systems, Trustworthy Systems, Software Engineering, Systems Engineering"
Julien Cassaigne,fail
Julien Le Roy,"Plant molecular biology, Biochemistry, Arabidopsis"
Pushkara Ravindra,
Aakash Khochare,"Distributed System, Internet of Things"
Siva Prakash Reddy,fail
Chase Norman,Automated Theorem Proving
M®¢rton Hajdu,automated reasoning
Giles Reger,"Theorem Proving, Program Verification, Runtime Monitoring"
Dima Grigoriev,"Mathematics, Computer Science"
Ovidiu Radulescu,"Computational Biology, Applied Mathematics, Condensed Matter Physics"
Thomas Sturm,"Symbolic Computation, Automated Reasoning"
Andreas P.M. Weber,"plant sciences, bioinformatics, evolution, photosynthesis, synthetic biology"
Sam Kriegman,"Robotics, Artificial Intelligence, Synthetic Biology, Artificial Life, Evolutionary Robotics"
Marcin Szubert,"Artificial Intelligence, Evolutionary Computation, Genetic Programming, Reinforcement Learning"
Josh C. Bongard,fail
Christian Skalka,"Programming Languages, Logic in Computer Science, Wireless Embedded Systems"
Alessio Caminata,"algebraic geometry, commutative algebra, postquantum cryptography"
Elisa Gorla,
Giona Casiraghi,"Applied Mathematics, Network Science, Data Science, Complex Systems"
Haoqi He,"Artificial Intelligence, Learning Theory, Quantum Computing"
"Michel F. Levesque, MD, MBA, FRCSC, FACS, FAANS",
Mouloud Amazouz,"Data analytics, artificial intelligence, Process Operation Optimization"
Bal®¢zs Andr®¢s Tolnai,fail
Julian Frattini,"Requirements Engineering, Natural Language Processing, Requirements Quality"
Madhavun Candadai Vasu,"Machine Learning, Robotics, Computational Neuroscience"
Marcelo Izquierdo Mill®¢n,"Conversi®Æn t®¶rmica y fotovoltaica de la energ®™a solar: refrigeraci®Æn y calefacci®Æn solar, m®¢quina frigor®™fica de absorc"
Nadish de Silva,quantum computation
Octavio Zapata,"Finite Model Theory, Algebraic Graph Theory, Analysis of Boolean Functions"
Ursula Goltz,fail
Laurens P. Stoop,fail
Erik Duijm,fail
Ad J. Feelders,fail
Machteld van den Broek,"energy efficiency, demand response, integration electricity and heat systems, energy systems"
Kamal Taha,"Bioinformatics, information retrieval, data mining, Information Forensics & Security, and defect characterization of semiconduct"
Paul D Yoo,"AI, Machine Learning, Big Data Analytics, Technology Forecasting, Technology Management"
Chan Yeob Yeun,"Cyber Security, IoT Security, Cloud Security, Security for Big Data Analytics, AI for Cyber Security"
Aya Taha,???? ???????
Richin Sukesh,fail
David Bernecker,"Computer Vision, Pattern Recognition, Deep Learning"
Andreas Meyer-Lindenberg,"Psychiatry, Neuroscience, Neuroimaging"
Elli Angelopoulou,Computer Vision
Sabrina Herbst,"Quantum Computing, Algorithms, Machine Learning"
Vincenzo De Maio,"IoT, edge/fog computing, cloud computing, quantum computing, hybrid quantum-classical systems"
Ivona Brandic,"Computational Sustainability, HPC, Edge/Cloud Computing, Hybrid Systems"
Nicole Novielli,"Affective Computing, Sentiment Analysis, Human aspects of SE, Mining Software Repositories, Natural Language Processing"
Mark Lackner,"Cancer Biomarkers, Drug Development, Ovarian Cancer, Breast Cancer"
Petek Askar,"assessment, instructional technology, mathematics education"
M. ?kapin Rugelj,fail
Ale? Bizjak,"programming language semantics, program logics, concurrency, topology, type theory"
Alexis Bernadet,fail
St®¶phane Jean Lengrand,fail
Barnaby D. Martin,fail
Frieder R. Lang,"Geropsychology, Gerontechnology, Lifespan, Gerontology, Aging Research"
radu bogdan mateescu,
Yordan Kalmukov,"Information Retrieval, Decision Support Systems, Image Processing, Distributed Computing, Web Services"
B®¢r®¢ny Vince,"logic, automata, databases, rewriting"
Georg Gottlob,"Algorithms in Artificial Intelligence and Information Systems, Databases, Database Theory"
Andi Wahju Rahardjo Emanuel,"Software Engineering, Software Quality, Knowledge Discovery, Open Source Software, Information"
Daniel Jahja Surjawan,Information System
Rob J. van Glabbeek,fail
Ulas Bagci,"medical image computing, deep learning, biomedical image analysis, medical image analysis"
Yuki Fujimoto,"Nuclear theory, Quantum chromodynamics, Neutron stars"
Toru Ohira,Applied mathematics
Mathieu Cliche,"Machine learning, Physics"
David E Rosenberg,
Dhruv Madeka,"Artificial Intelligence, Reinforcement Learning, Applied Mathematics, Machine Learning"
Fabian Lemke,
Henning Urbat,Theoretical Computer Science
Roman K?rner,"proteomics, mass spectrometry, bioinformatics, protein folding, protein aggregation"
Pascal Wichmann,"Machine Learning, Deep Learning, Supply Chain Management, Natural Language Processing"
Henning Prid?hl,fail
Dominik Herrmann,"privacy, information security, machine learning, domain name system"
Fabio Calefato,"Human Factors in Sw Eng, SE4AI, Mining Software Repositories, Personality + Sentiment Analysis, Online Communities"
Giuseppe Iaffaldano,fail
Filippo Lanubile,"Software Engineering, Social Computing, AI Engineering"
Antonio Lategano,fail
Magali Sanches Duran,computational linguistics
Sandra Maria Alu®™sio,"Processamento de L®™ngua Natural (PLN), Adapta??o Textual, Constru??o de Recursos Lingu®™sticos e Computacionais para PLN"
Ajinkya Kadu,"Inverse Problems, X-ray tomography, Full-waveform Inversion, electron tomography, convex"
Tristan van Leeuwen,"inverse problems, seismic imaging, x-ray tomography"
Kees Joost Batenburg,"Artificial Intelligence, Tomographic Imaging, Mathematics, Computer Science"
Teresa Heiss,"computational topology, computational geometry, applied topology, topological data analysis, geometry of materials"
Fabien Hubert Wagner,"Tropical Forests, Data Science, Deep Learning"
Masahito Ohue,"Bioinformatics, Computational Biology, Cheminformatics, Computational Drug Discovery"
Takuro Yamazaki,fail
Tomohiro Ban,fail
Akiyama Yutaka,"Bioinformatics, Computational drug design, Machine learning, Supercomputing, Pseudo-quantum computing"
Tatyana Dyakonova,fail
Sarfaraz Hussein,"Machine Learning, Medical Imaging, Artificial Intelligence, Computer Vision, Deep Learning"
Kunlin Cao,Medical Image Processing
Qi Song,"Machine learning, Medical imaging, image processing, computer vision, optimization"
Myagmarbayar Nergui,"Industrial robot motion control, Artificial Intelligence, data mining, pattern recognition, mobile robotics"
Jos®¶ R Gonz®¢lez Juanatey,cardiology
Dongyun Gu,fail
Weidong Chen,"robotics, control"
Kenzo Nonami,fail
Wenwei YU,"Human Motor Control, Robotics, Prosthesis, Care support, Portable MRI"
Connie Yee,
Muzamil Yahia,fail
Fabio D'Andreagiovanni,"Network Optimization, Robust Optimization, Machine Learning, UAVs, Mobility"
Carlo Mannino,"Operations Research, Mathematical Optimization"
Antonio Sassano,"Combinatorial Optimization, Graph Theory, Network Design, Data Mining"
Giles Tetteh,"Computer Vision, Machine Learning, Biomedical Modelling"
Markus Rempfler,"Machine Learning, Computer Vision, Biomedical Image Analysis, Optimization"
Bjoern Menze,"Biomedical Image Analysis, Medical Image Analysis, Medical Image Computing, Machine Learning"
Klaus Zimmer,laser micromachining
Nathan Siegle Hartmann,"Natural Language Processing, Machine Learning"
Matthijs van Leeuwen,"Data mining, pattern mining, information theory, machine learning, artificial intelligence"
Riccardo Zucca,Neuroscience
